Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрмоленко,Марʼяна,Андріївна,Жіноча,24-11-1940,Флорист,хутір Березівка,"проспект В'ячеслава Липинського, буд. 2, Каховка, 98554",+380 (27) 485-17-98,vhaida@example.org
Єрченко,Орина,Андріївна,Жіноча,21-03-1947,Шериф,місто Корсунь-Шевченківський,"узвіз Віталія Нестеренка, буд. 977, Роздільна, 84175",+380 (02) 584-56-97,varvaraovcharenko@example.com
Рябовіл,Захар,Дмитрович,Чоловіча,05-02-2008,Сценарист,місто Родинське,"парк Жасминна, буд. 260, Інкерман, 98141",146 48 53,hordiidubyna@example.org
Голобородько,Володимира,Олександрівна,Жіноча,06-01-1992,Флорист,місто Роздільна,"вулиця Нафтовиків 3-й, буд. 770 кв. 954, Торецьк, 73682",+380 36 358 87 86,amvrosiidavydenko@example.net
Затула,Лариса,Євгенівна,Жіноча,03-02-1957,Стропальник,хутір Луцьк,"набережна Юннатів 1-й, буд. 169 кв. 9, Ковель, 10835",314-95-16,ielysaveta37@example.com
Овчаренко,Назар,Борисович,Чоловіча,17-12-1982,Геолог,місто Миргород,"узвіз Олександра Кошиця, буд. 77, Дубно, 15373",018 291 13 64,ybezditko@example.org
Тарасенко,Борис,Петрович,Чоловіча,30-05-2008,Клавішник,хутір Буринь,"набережна Олександра Болдирєва, буд. 5 кв. 371, Олександрівськ, 90442",+380 14 186 97 33,kavdieienko@example.org
Парасюк,Віктор,Сергійович,Чоловіча,04-02-1992,Фрілансер,селище Хирів,"площа Любомира Гузара, буд. 55, Лутугине, 61472",056 597-36-53,zakusylooleksandr@example.org
Лагода,Олег,Іванович,Чоловіча,27-03-1959,Ді-джей,селище Мостиська,"площа Кільцева, буд. 7 кв. 2, Вінниця, 56810",+380 83 070-95-87,myron21@example.org
Фесенко,Охрім,Дмитрович,Чоловіча,07-12-1988,Фермер,місто Броди,"сквер Овідіопольська, буд. 38, Добропілля, 78906",+380 09 621-32-33,kyrylosaienko@example.com
Барабаш,Марина,Олександрівна,Жіноча,04-12-1960,Фотограф,хутір Петрово-Красносілля,"узвіз Кінна, буд. 837 кв. 07, Верхньодніпровськ, 69013",+380 (07) 785-37-69,makar24@example.org
Бгиденко,Артем,Сергійович,Чоловіча,25-05-1965,Маркетолог,хутір Бобринець,"проспект Шевченка, буд. 72, Запоріжжя, 51142",200-87-14,rozaliia77@example.net
Баштан,Олег,Дмитрович,Чоловіча,01-02-1964,Електротехнік,село Бориспіль,"проспект Лінія 54-та, буд. 8, Вилкове, 49192",+380 59 103-31-29,valerii58@example.org
Мамчур,Олена,Володимирівна,Жіноча,28-08-2008,Палеонтолог,місто Кипуче,"набережна Елеваторна, буд. 21, Балта, 99558",067 86 41,leontii70@example.com
Щириця,Богодар,Дмитрович,Чоловіча,26-01-1963,Біолог,село Пустомити,"узвіз Савранська, буд. 0 кв. 0, Сіверськ, 05859",000 082-37-65,ytereshchenko@example.org
Даньків,Трохим,Петрович,Чоловіча,30-12-1949,Зоолог,селище Вугледар,"шосе Об'їзна дорога, буд. 455, Свалява, 25497",+380 87 983-39-04,venedykt93@example.org
Дубина,Богуслав,Васильович,Чоловіча,13-12-1991,Педагог,місто Хирів,"вулиця Кортацці, буд. 50, Люботин, 95155",+380 28 714-05-63,vasyl72@example.com
Радченко,Охрім,Євгенович,Чоловіча,30-05-1956,Професор,хутір Сімферополь,"узвіз Кавунова, буд. 350 кв. 5, Балта, 13075",032 305 03 41,ihnat92@example.net
Тесля,Леонтій,Євгенович,Чоловіча,02-05-1998,Мистецтвознавець,місто Ужгород,"сквер Педагогічна, буд. 291 кв. 7, Балта, 08224",869 08 24,dkalchenko@example.com
Закусило,Теодор,Дмитрович,Чоловіча,28-06-1958,Адвокат,селище Севастополь,"площа Тарутинська, буд. 65, Довжанськ, 64582",+380 05 901-35-13,stsisyk@example.org
Левченко,Богдан,Семенович,Чоловіча,15-08-2004,Письменник,хутір Соледар,"вулиця Верф’яний, буд. 597, Вільногірськ, 61700",093 592-91-44,iustymbabarychenko@example.net
Колісниченко,Марія,Семенівна,Жіноча,06-04-1969,Акушер,місто Чорнобиль,"вулиця Високий, буд. 819, Арциз, 57295",+380 55 309-99-70,stepan64@example.net
Лубенець,Валентина,Михайлівна,Жіноча,26-04-1972,Режисер,селище Городенка,"проспект Матеріальний 1-й, буд. 3 кв. 584, Мар'їнка, 22620",+380 91 268-70-00,vlesyk@example.net
Сірченко,Світлана,Іванівна,Жіноча,03-10-1956,Гицель,селище Очаків,"провулок Шилова, буд. 9 кв. 5, Кременець, 64308",+380 91 242-44-98,anzhelavyshniak@example.net
Батіг,Еріка,Михайлівна,Жіноча,09-08-1990,Візажист,село Вуглегірськ,"площа Пересипська 8-ма, буд. 243, Устилуг, 22845",+380 73 016-46-51,skyrylenko@example.com
Шило,Віктор,Петрович,Чоловіча,20-04-2004,Патологоанатом,селище Самар,"провулок Короткий, буд. 3, Добромиль, 26255",+380 (28) 276-68-54,livanchenko@example.org
Гавришкевич,Геннадій,Ігорович,Чоловіча,29-07-1966,Акушер,хутір Мостиська,"сквер Банний, буд. 0, Бахмут, 22635",+380 55 714-88-55,havryloatamaniuk@example.com
Євтушок,Василина,Володимирівна,Жіноча,16-03-1945,Соціолог,селище Івано-Франківськ,"набережна Посівна, буд. 071, Глиняни, 64228",057 385-35-00,nesterenkolarysa@example.net
Василечко,Охрім,Михайлович,Чоловіча,04-11-1995,Дипломат,село Очаків,"шосе Розкидайлівська, буд. 5 кв. 779, Міусинськ, 01187",+380 43 816-41-69,herman07@example.com
Олійник,Світлана,Олександрівна,Жіноча,03-02-1969,Каскадер,хутір Надвірна,"вулиця Василя Кандинського 3-й, буд. 92 кв. 2, Новий Калинів, 08671",245 17 86,demianiukiosyp@example.org
Пилипенко,Франц,Юрійович,Чоловіча,16-03-1963,Локсмайстер,село Березань,"площа Олешківська, буд. 5, Мерефа, 07170",+380 88 653 36 48,boleslav38@example.org
Супруненко,Мирон,Семенович,Чоловіча,25-04-1963,Краєзнавець,місто Остер,"парк Аеропортівський 1-й, буд. 0, Бібрка, 50159",+380 30 740-55-48,danylenkoroksolana@example.net
Верес,Аврелій,Ігорович,Чоловіча,20-12-1982,Кінокритик,місто Нетішин,"парк Олександра Білостінного, буд. 71, Борзна, 10516",+380 71 702 23 79,svitlanaradchenko@example.org
Аврамчук,Лукʼян,Григорійович,Чоловіча,03-01-2005,Кінокритик,хутір Нове Давидково,"провулок Тепличний 2-й, буд. 457 кв. 2, Вільнянськ, 23622",567 87 38,danylozatovkaniuk@example.com
Сомко,Надія,Дмитрівна,Жіноча,17-11-2004,Бізнесмен,село Чугуїв,"проспект Міцкевича, буд. 52, Бердянськ, 92833",+380 08 777 68 96,miermolenko@example.org
Байда,Альбіна,Іванівна,Жіноча,07-07-1960,Промисловець,хутір Горохів,"площа Надіїі, буд. 920, Коростень, 94717",+380 12 649 64 57,nadiiababiuk@example.org
Артим,Ярослава,Дмитрівна,Жіноча,30-06-1973,Громадський діяч,місто Вовчанськ,"площа Іспанська, буд. 138, Хоростків, 05795",699 49 31,iustyna67@example.com
Зінчук,Симон,Сергійович,Чоловіча,25-09-2004,Пілот,село Алчевськ,"площа Окружна, буд. 668, Арциз, 83612",792-56-92,zasiadkooleksa@example.net
Таран,Костянтин,Максимович,Чоловіча,15-03-1980,Мірошник,селище Стебник,"набережна Чорноморський 9-й, буд. 744 кв. 542, Хрестівка, 30974",684 90 19,verespanas@example.com
Бараник,Давид,Семенович,Чоловіча,11-05-1950,Акушер,місто Олешки,"набережна Бандурний, буд. 93 кв. 15, Бар, 51493",+380 (90) 647-97-35,cdutka@example.com
Вітер,Дмитро,Романович,Чоловіча,27-11-1996,Електрик,хутір Енергодар,"проспект Аеропортівський 4-й, буд. 68, Бобровиця, 72114",+380 87 536-07-44,stetsleonid@example.com
